survey,id,state,city,gender,age,marital_status,no_kids,education,employment ,career,race,income,US_census_region,US_census_division,community,distance_from_coast,political,poltical2,Q4_fishing,Q4_hunting,Q4_fish_hunt,Q6_overfish_deforest,Q6_melt_extremes,Q6_plastic_waste,Q6_oil_toxics,Q6_oa_soil,Q6_none,Q6_total_awareness,Q7_overfish_deforest,Q7_melt_extremes,Q7_plastic_waste,Q7_oil_toxics,Q7_oa_soil,Q7_none,Q8_coast,Q8_ocean,Q8_fw,Q8_forest,Q8.5_plains,Q8_mountains,Q9_percent,Q10_animal_health,Q11_habitat_health,Q13_concern_fish,Q19_scenario_effective,Q20_protected_area,Q20_captive_breed,Q20_relocate,Q20_regulations,Q20_education,Q20_supplament,Q21_invest_govregs,Q21.2_partnerships,Q21_donate_ngo,Q21_market,Q21_programs,Q21_penalties,Q21_none,Q21_total_funds,,,,
Ocean,1537131805,Michigan,Mattawan,male,35 - 44,married,two,university,employed_for_wages,information_services_and_data,white,middle_ii,Midwest,East North Central,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Moderate,Moderate,Yes,Yes,Both,1,0,1,1,1,0,0.8,1,0,0.75,0.5,0.75,0,0.6,1,1,0.8,0.8,0.6,75,1,1,1,0.6,1,1,0.8,0.6,0.6,0.8,1,0,1,1,1,0,0,4,,,,
Ocean,-357794268,Virginia,Yorktown,male,35 - 44,married,two,university,employed_for_wages,information_services_and_data,white,high_iii,South,South Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,I prefer not to say,Wont say,No,No,None,0,1,1,1,0,0,0.6,0,0.5,0.25,0.75,0,0,0.4,0.8,0.6,0.6,1,0.8,90,0.8,0.6,1,0.8,0.8,0.8,1,0.8,0.6,1,0,1,1,0,1,0,0,3,,,,
Ocean,1577598195,Arizona,Phoenix,female,35 - 44,living_with_partner,one,high_school,unemployed_looking,other,white,lower_i,West,Mountain,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,1-2 hour drive away / Approximately 60 - 124 miles away,Moderate,Moderate,Yes,No,Fish,1,1,1,1,1,0,1,1,1,1,1,1,0,0.8,0.6,0.8,0.8,0.8,0.8,80,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,1,1,1,0,6,,,,
Ocean,127285965,Georgia,Lawrenceville,female,35 - 44,single,one,vocational_technical_college,employed_for_wages,transportation_and_warehousing,white,prefer_not_to_say,South,South Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,3-4 hour drive away / Approximately 125 - 249 miles away,Lean Right (Republican) ,Right,Yes,No,Fish,1,1,1,1,1,0,1,0.5,1,0.5,0.5,0.5,0,0.8,1,1,0.8,0.6,0.6,50,0.6,0.4,0.8,0.8,1,0.8,1,1,1,0.6,1,1,0,0,1,1,0,4,,,,
Ocean,-53503807,Unknown,Unknown,male,45 - 54,married,three,postgraduate,employed_for_wages,information_other,white,high_iii,,,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Lean Right (Republican) ,Right,Yes,No,Fish,1,0,1,1,0,0,0.6,0.5,0,0.5,0.5,0,0,0.6,0.8,1,0.6,0.6,0.6,70,0.8,0.8,1,0.8,1,1,0.8,1,0.8,1,1,1,1,0,1,1,0,5,,,,
Ocean,52446992,South Carolina,Bluffton,male,45 - 54,married,three,postgraduate,employed_for_wages,information_other,white,high_iii,South,South Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Strong Right,Right,Yes,No,Fish,1,0,0,1,0,0,0.4,0.75,0,0,0.5,0,0,0.6,1,0.8,0.8,0.8,0.6,60,0.8,0.8,1,0.8,0.8,0.8,0.4,1,1,0.4,1,1,1,0,1,1,0,5,,,,
Ocean,822157200,Washington,Pullman,female,25 - 34,single,zero,university,self_employed,information_services_and_data,hispanic,lower_ii,West,Pacific,"Rural community: an area where people live and work further apart, usually small cities and towns",I live very close to the coast. It’s a short drive away,I prefer not to say,Wont say,No,No,None,0,1,1,1,0,0,0.6,0,1,1,0.5,0,0,1,1,1,1,1,0.6,25,0.2,0.2,0.2,1,1,1,1,1,1,0.6,0,1,0,0,1,1,0,3,,,,
Ocean,1121301628,Maine,Cumberland Center,female,45 - 54,married,two,postgraduate,self_employed,advertising,white,high_iii,Northeast,New England,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",1-2 hour drive away / Approximately 60 - 124 miles away,Lean Right (Republican) ,Right,Yes,No,Fish,0,1,1,1,0,0,0.6,0,0.25,0.25,0.25,0,0,1,1,1,1,1,1,65,0.8,0.8,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,3,,,,
Ocean,1662717335,Maryland,Laurel,female,25 - 34,married,two,postgraduate,employed_for_wages,construction,white,high_iii,South,South Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Strong Left,Left,No,Yes,Hunt,1,0,0,1,1,0,0.6,0.25,0,0,0.25,0.25,0,0.8,0.8,0.8,0.8,0.8,0.8,100,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,2,,,,
Ocean,1959504257,Georgia,Snellville,male,35 - 44,married,three,postgraduate,employed_for_wages,software,white,high_iii,South,South Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",I live very close to the coast. It’s a short drive away,Strong Left,Left,No,No,None,1,0,1,1,1,0,0.8,0.5,0,0.5,0.5,0.5,0,1,1,1,1,1,1,50,0.4,0.4,1,0.8,1,1,1,1,1,1,1,0,1,0,0,0,0,2,,,,
Ocean,1989467921,New Jersey,Newark,male,35 - 44,married,two,university,employed_for_wages,construction,white,high_iii,Northeast,Middle Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",1-2 hour drive away / Approximately 60 - 124 miles away,Strong Left,Left,Yes,Yes,Both,1,1,1,1,1,0,1,1,0.75,1,0.75,0.75,0,1,1,1,1,1,1,55,0.4,0.4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,5,,,,
Ocean,1168773334,Maryland,Laurel,male,35 - 44,married,three,postgraduate,employed_for_wages,finance_and_insurance,white,high_ii,South,South Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,I prefer not to say,Wont say,Yes,Yes,Both,1,0,0,1,1,0,0.6,1,0,0,1,1,0,0.8,1,1,0.6,0.6,0.6,75,0.4,0.4,1,1,1,1,1,1,0.8,1,0,1,0,1,1,0,0,3,,,,
Ocean,1042284330,Illinois,Evanston,male,25 - 34,married,two,postgraduate,employed_for_wages,construction,white,high_ii,Midwest,East North Central,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,Lean Left (Democrat),Left,Yes,Yes,Both,1,1,0,0,1,0,0.6,0.25,0.75,0,0,0.5,0,1,1,0.8,1,0.8,0.8,50,0.4,0.4,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,4,,,,
Ocean,813541455,Pennsylvania,Lansdowne,male,35 - 44,married,two,university,employed_for_wages,finance_and_insurance,white,high_i,Northeast,Middle Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",I live very close to the coast. It’s a short drive away,Strong Left,Left,No,No,None,1,1,0,1,1,0,0.8,0.25,0.5,0,0.75,0.5,0,0.4,0.6,0.8,0.8,0.4,0.6,65,0.8,0.6,0.8,1,1,1,0.8,0.8,0.6,1,1,1,0,1,0,1,0,4,,,,
Ocean,2021964015,Florida,Lakeland,male,25 - 34,married,three,middle_school,unemployed_looking,arts_entertainment_or_recreation,black,middle_ii,South,South Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,I prefer not to say,Wont say,Yes,Yes,Both,1,1,1,1,1,0,1,0.5,0.5,0.25,0.25,0.5,0,0.6,0.6,0.6,0.4,0.4,0.4,65,0.2,0.4,0.6,0.6,0.2,0.4,0.6,0.4,0.4,0.2,1,1,1,1,1,1,0,6,,,,
Ocean,526100992,Oregon,Beaverton,female,25 - 34,married,two,postgraduate,employed_for_wages,education,white,high_ii,West,Pacific,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,I prefer not to say,Wont say,Yes,Yes,Both,0,1,0,0,1,0,0.4,0,0.5,0,0,0.25,0,0.4,0.4,0.8,0.8,0.6,0.2,80,0.4,0.6,0.6,0.2,0.8,1,0.8,0.8,0.4,1,1,0,0,1,0,0,0,2,,,,
Ocean,1684146776,New Jersey,Newark,male,35 - 44,married,four,postgraduate,employed_for_wages,construction,white,high_iii,Northeast,Middle Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",1-2 hour drive away / Approximately 60 - 124 miles away,Lean Left (Democrat),Left,Yes,Yes,Both,1,1,1,1,1,0,1,0.75,0.75,0.75,0.75,0.75,0,1,1,1,1,1,1,55,0.4,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,,,,
Ocean,793362265,Washington,Spokane,male,35 - 44,married,two,postgraduate,employed_for_wages,government_and_public_administration,white,middle_ii,West,Pacific,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Strong Left,Left,No,Yes,Hunt,0,1,0,0,0,0,0.2,0,0.75,0,0,0,0,0.8,0.8,1,0.8,1,1,75,0.4,0.4,0.8,1,0.8,0.8,0.8,1,0.8,1,0,1,0,0,0,0,0,1,,,,
Ocean,-1171666175,Tennessee,Murfreesboro,male,25 - 34,married,one,postgraduate,employed_for_wages,information_services_and_data,white,middle_i,South,East South Central,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,Strong Right,Right,Yes,Yes,Both,0,0,1,0,0,0,0.2,0,0,0.25,0,0,0,0.2,0.2,0.4,0.2,0.2,0.4,50,1,1,0.2,0.4,0.4,0.6,0.6,0.4,0.4,0.8,0,0,0,0,0,0,1,0,,,,
Ocean,-596681607,Wisconsin,Hazel Green,male,35 - 44,married,two,postgraduate,employed_for_wages,finance_and_insurance,white,high_i,Midwest,East North Central,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",I live very close to the coast. It’s a short drive away,Lean Right (Republican) ,Right,Yes,Yes,Both,1,1,1,1,1,0,1,0.5,0.5,0.75,0.5,0.5,0,0.6,1,1,1,0.6,0.6,50,1,0.8,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,0,6,,,,
Ocean,462133935,Michigan,Saint Clair Shores,male,45 - 54,married,two,postgraduate,employed_for_wages,construction,white,high_i,Midwest,East North Central,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Lean Left (Democrat),Left,Yes,Yes,Both,0,1,1,1,1,0,0.8,0,0.75,0.5,0.25,0.75,0,0.8,1,1,0.8,0.8,1,85,1,1,1,0.8,1,0.8,1,0.8,1,1,0,0,0,0,1,1,0,2,,,,
Ocean,-1539980578,Maryland,Columbia,male,35 - 44,married,two,university,employed_for_wages,health_care_and_social_assistance,white,high_ii,South,South Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,Moderate,Moderate,Yes,No,Fish,1,1,0,1,1,0,0.8,0.25,0.5,0,0.25,0.25,0,0.6,0.6,0.6,0.6,0.6,0.6,75,1,0.8,1,0.2,1,0.4,1,0.8,1,0.8,1,0,0,1,1,1,0,4,,,,
Ocean,-1361278748,Michigan,Allendale,female,25 - 34,married,three,postgraduate,employed_for_wages,hotel_and_food_services,white,high_ii,Midwest,East North Central,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,1-2 hour drive away / Approximately 60 - 124 miles away,Lean Right (Republican) ,Right,Yes,No,Fish,0,1,1,1,0,0,0.6,0,0.75,0.75,0.75,0,0,0.6,0.6,0.6,0.6,0.6,0.6,55,0.4,0.4,0.8,0.6,0.6,0.6,0.8,0.6,0.8,0.8,0,1,0,0,1,1,0,3,,,,
Ocean,-704576681,Michigan,Oxford,male,25 - 34,married,four,postgraduate,employed_for_wages,arts_entertainment_or_recreation,white,high_i,Midwest,East North Central,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Moderate,Moderate,Yes,Yes,Both,0,0,1,0,1,0,0.4,0,0,0.25,0,0.25,0,0.6,0.8,0.6,0.4,0.6,0.2,95,1,1,1,1,0.6,0.6,1,1,1,0.4,0,0,0,0,0,0,1,0,,,,
Ocean,-912773224,Illinois,Chicago,male,54+,widowed,zero,university,employed_for_wages,hotel_and_food_services,white,lower_ii,Midwest,East North Central,"Rural community: an area where people live and work further apart, usually small cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Moderate,Moderate,Yes,No,Fish,0,1,1,1,0,0,0.6,0,1,1,0.5,0,0,0.8,0.8,0.6,0.6,0.4,0.4,50,0.8,1,0.8,1,1,0.6,0.8,0.8,0.8,0.6,0,0,1,0,1,1,0,3,,,,
Ocean,-1178298890,New York,Rochester,female,54+,married,two,university,employed_for_wages,software,asian,lower_ii,Northeast,Middle Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,3-4 hour drive away / Approximately 125 - 249 miles away,Lean Left (Democrat),Left,No,No,None,1,1,1,1,0,0,0.8,0.5,1,1,1,0,0,0.8,0.8,0.8,0.8,0.8,0.6,50,0.6,0.6,0.8,1,1,1,1,1,1,0.8,0,1,1,0,0,1,0,3,,,,
Ocean,1362290182,Alabama,Foley,female,35 - 44,separated,one,high_school,unemployed_not_looking,agriculture_forestry_fishing_or_hunting,hispanic,lower_i,South,East South Central,"Rural community: an area where people live and work further apart, usually small cities and towns",I live very close to the coast. It’s a short drive away,I prefer not to say,Wont say,No,No,None,1,1,1,1,0,0,0.8,0.5,0.5,0.75,0.75,0,0,0.6,0.8,0.8,0.6,0.6,0.6,65,0.6,0.4,0.8,0.6,0.8,0.4,0.6,0.8,0.6,0.6,1,0,0,0,1,0,0,2,,,,
Ocean,944001059,Washington,Federal Way,female,18 - 24,married,zero,high_school,self_employed,other,white,prefer_not_to_say,West,Pacific,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,Strong Right,Right,No,No,None,0,0,1,0,0,0,0.2,0,0,0.25,0,0,0,0.6,0.6,0.6,0.8,0.6,0.6,50,0.6,0.6,1,0.6,0.8,0.8,0.8,0.8,0.8,0.6,0,1,1,0,0,1,0,3,,,,
Ocean,-796395896,Alabama,Opelika,male,54+,married,six_or_more,university,retired,health_care_and_social_assistance,white,middle_i,South,East South Central,"Rural community: an area where people live and work further apart, usually small cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Strong Right,Right,Yes,Yes,Both,0,0,1,1,0,0,0.4,0,0,1,1,0,0,1,1,1,1,1,1,50,0.4,0.8,0.2,1,1,1,0.8,1,0.8,1,1,1,1,1,1,1,0,6,,,,
Ocean,-14840796,Alabama,Montgomery,male,25 - 34,living_with_partner,one,high_school,employed_for_wages,agriculture_forestry_fishing_or_hunting,prefer_not_to_say,lower_i,South,East South Central,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,Strong Left,Left,Yes,Yes,Both,1,0,1,1,0,0,0.6,0.75,0,0.75,0.5,0,0,1,1,0.8,0.8,0.6,1,50,0.8,0.8,0.6,0.4,0.2,0.4,0.2,0.6,0.4,0.4,1,1,1,0,1,1,0,5,,,,
Ocean,-2078036327,California,San Jose,male,45 - 54,married,three,postgraduate,employed_for_wages,manufacturing_other,white,high_i,West,Pacific,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",I live very close to the coast. It’s a short drive away,Moderate,Moderate,Yes,Yes,Both,1,1,1,0,1,0,0.8,1,1,1,0,1,0,1,1,1,1,1,1,100,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,,,,
Ocean,-1744089702,Texas,Prosper,female,35 - 44,married,three,university,employed_for_wages,government_and_public_administration,white,middle_ii,South,West South Central,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,Lean Left (Democrat),Left,No,No,None,1,0,1,1,0,0,0.6,0.5,0,1,0.5,0,0,0.8,0.8,0.8,0.6,0.6,0.6,50,0.6,0.6,0.8,1,1,1,0.8,1,0.8,1,1,1,0,0,1,1,0,4,,,,
Ocean,-1290217552,Florida,Miami,male,35 - 44,single,zero,high_school,unable_to_work,fashion_apparel,black,prefer_not_to_say,South,South Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",I live very close to the coast. It’s a short drive away,Moderate,Moderate,No,No,None,1,1,1,1,0,0,0.8,0.5,0.5,0.5,0.5,0,0,0.8,0.6,0.6,0.4,0.6,0.6,50,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.6,1,0,0,0,0,0,0,1,,,,
Ocean,-1273289571,Georgia,Douglasville,female,54+,married,one,postgraduate,employed_for_wages,education,multiracial,middle_ii,South,South Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,3-4 hour drive away / Approximately 125 - 249 miles away,Strong Left,Left,No,No,None,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.8,0.8,0.8,0.8,40,0.2,0.2,1,1,1,0.8,0.8,1,1,0.8,1,1,1,1,1,1,0,6,,,,
Ocean,222530130,Michigan,Detroit,female,25 - 34,single,one,vocational_technical_college,employed_for_wages,education,latino,high_iii,Midwest,East North Central,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,3-4 hour drive away / Approximately 125 - 249 miles away,Lean Left (Democrat),Left,No,No,None,0,1,0,0,0,0,0.2,0,0.75,0,0,0,0,0.8,1,0.4,0.6,0.6,0.8,65,0.4,0.6,1,0.8,0.8,0.8,0.8,0.6,0.6,0.4,0,0,0,1,0,1,0,2,,,,
Ocean,-931561794,Ohio,Leipsic,male,25 - 34,married,two,postgraduate,employed_for_wages,information_other,white,high_ii,Midwest,East North Central,"Rural community: an area where people live and work further apart, usually small cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Strong Left,Left,Yes,No,Fish,1,1,0,0,1,0,0.6,0.75,0.25,0,0,0.25,0,0.2,0.6,0.8,1,1,0.4,90,0.8,0.8,0.8,0.6,0.6,1,1,1,0.8,0.6,0,1,1,0,0,1,0,3,,,,
Ocean,773326385,Virginia,Suffolk,female,35 - 44,prefer_not_to_say,zero,university,self_employed,fashion_apparel,black,lower_ii,South,South Atlantic,"Rural community: an area where people live and work further apart, usually small cities and towns",1-2 hour drive away / Approximately 60 - 124 miles away,I don’t follow politics,None,No,No,None,0,1,1,1,0,0,0.6,0,0.5,0.75,0.75,0,0,0.8,0.4,0.4,0.2,0.6,0.4,60,0.8,0.6,0.4,0.4,0.8,0.2,0.6,0.8,0.8,0.4,0,0,0,0,0,0,1,0,,,,
Ocean,1611657516,Texas,Aubrey,female,35 - 44,married,one,university,employed_for_wages,personal_services,white,middle_ii,South,West South Central,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,Moderate,Moderate,No,No,None,1,1,1,1,0,0,0.8,1,1,0.5,0.5,0,0,1,0.8,0.4,0.8,0.6,0.6,70,0.4,0.4,0.8,1,1,1,0.8,1,1,1,1,0,1,1,1,1,0,5,,,,
Ocean,-161163708,Michigan,Detroit,female,54+,married,zero,high_school,employed_for_wages,health_care_and_social_assistance,white,lower_ii,Midwest,East North Central,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,Moderate,Moderate,No,No,None,1,1,1,1,0,0,0.8,1,1,1,1,0,0,0.8,0.8,0.8,0.8,0.8,0.8,50,0.4,0.4,0.8,0.8,1,1,1,1,1,1,1,1,1,1,1,1,0,6,,,,
Ocean,-2014969583,Maryland,Randallstown,female,54+,married,two,postgraduate,self_employed,arts_entertainment_or_recreation,white,middle_ii,South,South Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,3-4 hour drive away / Approximately 125 - 249 miles away,Moderate,Moderate,No,No,None,1,0,1,1,1,0,0.8,0.5,0,0.5,0.5,0.5,0,1,1,1,1,1,0.6,50,0.2,0.2,0.8,0.2,0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,1,1,1,0,6,,,,
Ocean,-1232183799,Illinois,DeKalb,female,25 - 34,single,zero,vocational_technical_college,employed_for_wages,health_care_and_social_assistance,white,middle_i,Midwest,East North Central,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,Strong Left,Left,No,No,None,0,1,1,1,0,0,0.6,0,1,1,1,0,0,0.8,0.8,1,0.8,0.8,1,75,0.4,0.2,0.2,0.8,1,1,1,1,1,0.2,0,0,1,0,1,1,0,3,,,,
Ocean,-1408239162,Pennsylvania,Allison Park,male,35 - 44,married,three,high_school,employed_for_wages,other,white,middle_i,Northeast,Middle Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,Lean Right (Republican) ,Right,No,No,None,1,1,1,1,0,0,0.8,0.5,0.5,0.5,0.5,0,0,0.8,0.8,0.8,0.8,0.8,0.8,100,0.2,0.2,0.8,1,0.8,0.8,1,0.8,0.8,0.8,0,1,0,0,1,1,0,3,,,,
Ocean,-1923255352,Kansas,Overland Park,male,35 - 44,separated,one,vocational_technical_college,employed_for_wages,software,white,prefer_not_to_say,Midwest,West North Central,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,Moderate,Moderate,No,No,None,0,1,1,0,0,0,0.4,0,1,1,0,0,0,1,1,1,1,1,1,65,0.2,0.2,1,1,0.6,1,0.4,0.8,0.4,0.4,0,0,0,0,0,0,1,0,,,,
Ocean,-1131546515,Texas,Sulphur Springs,female,54+,widowed,zero,high_school,military,other,white,lower_i,South,West South Central,"Rural community: an area where people live and work further apart, usually small cities and towns",More than 5-hour drive away / Approximately 250 miles or more,I don’t follow politics,None,No,No,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,1,1,1,1,0.2,50,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,1,1,0,1,1,0,4,,,,
Ocean,987450043,Massachusetts,Concord,female,18 - 24,separated,three,high_school,self_employed,transportation_and_warehousing,asian,lower_i,Northeast,New England,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,Less than 1-hour drive away / 10 - 59 miles away,Moderate,Moderate,Yes,No,Fish,0,1,1,1,0,0,0.6,0,0.75,0.5,0.25,0,0,0.8,1,0.8,0.8,0.6,0.8,50,0.4,0.6,0.4,0.8,0.8,1,1,0.8,1,0.6,1,1,0,0,1,0,0,3,,,,
Ocean,-1627849880,North Carolina,Lillington,female,54+,widowed,two,postgraduate,retired,other,white,middle_i,South,South Atlantic,"Rural community: an area where people live and work further apart, usually small cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,Moderate,Moderate,No,No,None,1,1,1,1,0,0,0.8,1,1,1,1,0,0,1,0.8,0.8,1,0.6,0.6,55,0.4,0.4,0.8,1,1,0.8,0.8,1,1,0.8,0,0,0,0,1,1,0,2,,,,
Ocean,-1462793712,North Carolina,Unknown,male,45 - 54,married,two,vocational_technical_college,employed_for_wages,education,black,lower_ii,South,South Atlantic,"Rural community: an area where people live and work further apart, usually small cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,Moderate,Moderate,Yes,No,Fish,0,1,0,0,0,0,0.2,0,1,0,0,0,0,1,1,0.6,0.6,0.8,0.8,50,0.6,0.6,0.6,0.6,1,0.8,1,0.6,1,1,0,1,0,0,0,0,0,1,,,,
Ocean,-1933695119,Mississippi,Meridian,male,35 - 44,single,zero,vocational_technical_college,employed_for_wages,broadcasting,white,middle_i,South,East South Central,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,3-4 hour drive away / Approximately 125 - 249 miles away,Lean Left (Democrat),Left,Yes,No,Fish,1,1,1,1,0,0,0.8,1,0.5,1,1,0,0,1,1,0.8,1,1,0.8,55,0.4,0.4,1,0.8,1,0.8,0.8,0.8,1,0.8,0,0,0,0,1,1,0,2,,,,
Ocean,-1223048106,California,Ventura,female,35 - 44,married,three,vocational_technical_college,employed_for_wages,health_care_and_social_assistance,hispanic,middle_ii,West,Pacific,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",I live very close to the coast. It’s a short drive away,I don’t follow politics,None,No,No,None,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0.8,1,75,0.4,0.4,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,1,0,1,,,,
Ocean,-1931015629,Iowa,Iowa City,male,25 - 34,single,zero,university,employed_for_wages,security,black,lower_i,Midwest,West North Central,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Moderate,Moderate,Yes,No,Fish,1,1,1,1,0,0,0.8,1,1,1,1,0,0,1,1,1,1,0.2,0.2,100,1,1,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,1,0,0,0,1,,,,
Ocean,285224858,California,Canyon Country,female,18 - 24,single,zero,high_school,student,retail,hispanic,lower_i,West,Pacific,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",1-2 hour drive away / Approximately 60 - 124 miles away,I don’t follow politics,None,No,No,None,0,1,1,1,0,0,0.6,0,0.5,1,0.5,0,0,1,1,0.8,0.8,0.6,0.6,40,0.6,0.4,0.8,0.8,1,0.8,0.8,1,1,0.6,1,1,1,1,1,1,0,6,,,,
Ocean,1015648326,Colorado,Denver,female,35 - 44,single,zero,postgraduate,employed_for_wages,legal_services,white,middle_ii,West,Mountain,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Strong Left,Left,Yes,No,Fish,1,1,1,1,1,0,1,1,1,0.5,0.5,0.5,0,0.8,1,0.8,0.8,0.6,0.6,65,0.4,0.4,0.8,1,1,1,0.8,1,1,0.8,1,1,0,1,1,1,0,5,,,,
Ocean,-1941311942,Pennsylvania,Elkins Park,female,45 - 54,married,one,postgraduate,employed_for_wages,health_care_and_social_assistance,black,high_ii,Northeast,Middle Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,1-2 hour drive away / Approximately 60 - 124 miles away,Lean Left (Democrat),Left,No,No,None,0,1,1,1,0,0,0.6,0,1,1,1,0,0,0.8,0.6,0.6,0.6,0.6,0.4,70,0.6,0.4,0.6,0.8,0.8,0.8,1,1,0.4,0.6,1,0,0,0,1,1,0,3,,,,
Ocean,292691075,California,Los Angeles,male,18 - 24,prefer_not_to_say,prefer_not_to_say,middle_school,other,other,prefer_not_to_say,prefer_not_to_say,West,Pacific,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",1-2 hour drive away / Approximately 60 - 124 miles away,I prefer not to say,Wont say,Yes,No,Fish,1,1,0,1,0,0,0.6,0.5,0.5,0,0.25,0,0,0.8,0.6,0.4,0.6,0.8,1,40,0.8,0.6,0.8,0.6,0.4,0.6,0.6,1,1,0.8,1,1,0,0,0,1,0,3,,,,
